,index,NCTId,Inclusion,Exclusion,description,cluster
58,58,NCT03039595,"Participant is willing and able to give informed consent (in English) for participation in the study, or gave informed consent for donation of tissue for research at the time of surgery
Male or Female, aged 18 years or above
Diagnosed with operable rectal cancer
Due to undergo, or has already undergone, TEM surgery to remove rectal cancer
A useable tissue sample has already been, or will be, taken as part of routine surgery","Age less than 18
Adults who are not able to give consent or who are deemed vulnerable
Participants who do not have a useable tissue sample will be excluded","Participant is willing and able to give informed consent (in English) for participation in the study, or gave informed consent for donation of tissue for research at the time of surgery
Male or Female, aged 18 years or above
Diagnosed with operable rectal cancer
Due to undergo, or has already undergone, TEM surgery to remove rectal cancer
A useable tissue sample has already been, or will be, taken as part of routine surgeryAge less than 18
Adults who are not able to give consent or who are deemed vulnerable
Participants who do not have a useable tissue sample will be excluded",13
59,59,NCT03415815,"Patients >= 18 years old;
Patients who received radical resection of esophageal cancer;
Pathologically diagnosed patients with thoracic T1-T3 esophageal cancer after surgeries;","Patients who received upper gastrointestinal surgeries;
Patients with second primary tumors;","Patients >= 18 years old;
Patients who received radical resection of esophageal cancer;
Pathologically diagnosed patients with thoracic T1-T3 esophageal cancer after surgeries;Patients who received upper gastrointestinal surgeries;
Patients with second primary tumors;",3
60,60,NCT02382315,"Men and women diagnosed with cancer (stages I-III),
English-speaking,
18 years of age or older,
clinical level of FCR as indicated by a score of 13 or greater on the severity subscale of the FCRI (range 0-36),
clinical distress score as indicated by a score of at least 24 on the IES (range 0-75),
completion of cancer treatment,
current or previous patients of the Ottawa Hospital Cancer Centre.","the refusal to provide informed consent,
non-understanding of the English language,
Stage IV cancer,
previous cancer recurrence,
currently enrolled in psychotherapy for cancer issues (whether individual or group) during the treatment,
self-disclosure of unmanaged mental health disorder,
have not been a patient of the Ottawa Hospital Cancer Centre.","Men and women diagnosed with cancer (stages I-III),
English-speaking,
18 years of age or older,
clinical level of FCR as indicated by a score of 13 or greater on the severity subscale of the FCRI (range 0-36),
clinical distress score as indicated by a score of at least 24 on the IES (range 0-75),
completion of cancer treatment,
current or previous patients of the Ottawa Hospital Cancer Centre.the refusal to provide informed consent,
non-understanding of the English language,
Stage IV cancer,
previous cancer recurrence,
currently enrolled in psychotherapy for cancer issues (whether individual or group) during the treatment,
self-disclosure of unmanaged mental health disorder,
have not been a patient of the Ottawa Hospital Cancer Centre.",0
61,61,NCT01985113,"Pathologically proven staged(Ⅰ~ⅢA) non-small cell lung cancer or CT scan shows resectable lung mass
Receive surgery in Thoracic Oncology department Hunan Tumor Hospital without contraindication of surgery
Malignant tumor treatment naive（except for surgery for cervical cancer and cutaneous squamous cell carcinoma 5 years before）
Signed informed consent about providing blood and tissue for study","Patients have received antitumor treatment
Patients with contraindication of surgery or patients who need adjuvant chemotherapy with contraindication of chemotherapy
Pregnant or breast feeding women","Pathologically proven staged(Ⅰ~ⅢA) non-small cell lung cancer or CT scan shows resectable lung mass
Receive surgery in Thoracic Oncology department Hunan Tumor Hospital without contraindication of surgery
Malignant tumor treatment naive（except for surgery for cervical cancer and cutaneous squamous cell carcinoma 5 years before）
Signed informed consent about providing blood and tissue for studyPatients have received antitumor treatment
Patients with contraindication of surgery or patients who need adjuvant chemotherapy with contraindication of chemotherapy
Pregnant or breast feeding women",3
62,62,NCT01475500,"55 - 80 years of age
Current smoker or former smoker. If former smoker, must have quit smoking less than 15 years ago
>/= 30 pack year of smoking history","History of diagnosis/treatment of lung cancer in the past 2 years
History of head/neck or esophageal cancer in the last 1 year
Inability to provide informed consent
Participants in whom stopping anti-platelet or anti-coagulation therapy would have an adverse effect (DVT, mechanical heart valves, unstable coronary syndrome, etc.)","55 - 80 years of age
Current smoker or former smoker. If former smoker, must have quit smoking less than 15 years ago
>/= 30 pack year of smoking historyHistory of diagnosis/treatment of lung cancer in the past 2 years
History of head/neck or esophageal cancer in the last 1 year
Inability to provide informed consent
Participants in whom stopping anti-platelet or anti-coagulation therapy would have an adverse effect (DVT, mechanical heart valves, unstable coronary syndrome, etc.)",21
63,63,NCT03357289,"All standard therapies have failed according to NCCN guidelines or the patient refuses standard therapies after cancer recurrence
Body tumor 1-6, the maximum tumor length < 2 cm
KPS ≥ 70, lifespan > 6 months
Platelet count ≥ 80×109/L，white blood cell count ≥ 3×109/L, neutrophil count ≥ 2×109/L, hemoglobin ≥ 80 g/L","Patients with cardiac pacemaker
Patients with brain metastasis
Patients with grade 3 hypertension or diabetic complication, severe cardiac and pulmonary dysfunction","All standard therapies have failed according to NCCN guidelines or the patient refuses standard therapies after cancer recurrence
Body tumor 1-6, the maximum tumor length < 2 cm
KPS ≥ 70, lifespan > 6 months
Platelet count ≥ 80×109/L，white blood cell count ≥ 3×109/L, neutrophil count ≥ 2×109/L, hemoglobin ≥ 80 g/LPatients with cardiac pacemaker
Patients with brain metastasis
Patients with grade 3 hypertension or diabetic complication, severe cardiac and pulmonary dysfunction",15
64,64,NCT02213822,"Documented informed consent
Patient has either a suspected or confirmed solid tumor or hematological malignancy
There is enough tissue or body fluid to allow for experimental study
The patient is over the age of 18",The patient is unwilling or unable to provide informed consent,"Documented informed consent
Patient has either a suspected or confirmed solid tumor or hematological malignancy
There is enough tissue or body fluid to allow for experimental study
The patient is over the age of 18The patient is unwilling or unable to provide informed consent",13
65,65,NCT01389830,"(Inclusion Criteria of participants recruited from CPTD) Cancer and non-cancer participants recruited to the study must have either been enrolled in either the screening (cancer negative) or treatment (cancer positive) of the Centers for Medicare and Medicaid Services Cancer Prevention and Treatment Demonstration Project (CMS CPTD) (Protocol 2006-0419) or must be listed as a current patient from the provided MD Anderson Tumor Registry list. All participants must meet the CPTD eligibility criteria listed below.
(Inclusion Criteria of participants recruited from CPTD) Cancer patients must have a stage III diagnosis or greater of cancer.
(Inclusion Criteria of participants recruited from the CPTD) Cancer patients must designate a proxy respondent at the time of the baseline interview in the event that a participant cannot complete subsequent phone interviews due to illness severity or cognitive impairment.
(Inclusion Criteria of the CPTD, Protocol 2006-0419) All participants must: Be Latino / Hispanic American.
(Inclusion Criteria of the CPTD, Protocol 2006-0419) All participants must: Have Medicare Part A and Part B.
(Inclusion Criteria of the CPTD, Protocol 2006-0419) All participants must: Be at least 40 years of age.
(Inclusion Criteria of the CPTD, Protocol 2006-0419) All Cancer Screening Group (cancer negative) participants must: Be a Medicare-eligible beneficiary from Region 6 (Central Gulf Coast) as defined by Texas Department of State Health Services.
(Inclusion Criteria of the CPTD, Protocol 2006-0419) All Cancer Treatment Group (cancer positive) participants must: Have been diagnosed with breast, cervix, prostate, colorectal, and/or lung cancer within the past 5 years. Be a Medicare-eligible beneficiary from Texas.
(Inclusion Criteria of participants recruited from Tumor Registry) Be Latino / Hispanic American.
(Inclusion Criteria of participants recruited from Tumor Registry) Have Medicare Part A and Part B.
(Inclusion Criteria of participants recruited from Tumor Registry) Be at least 40 years of age.
(Inclusion Criteria of participants recruited from Tumor Registry) Must have a stage 3 diagnosis of cancer or greater.
(Inclusion Criteria of participants recruited from Tumor Registry) Must designate a proxy respondent at the time of the baseline interview in the event that a participant cannot complete subsequent phone interviews due to illness severity or cognitive impairment.","Participants refuse to participate in the study or are not competent to give informed consent.
Participants who miss 3 or more answers on the Six-Item Screener to Identify Cognitive Impairment.
Participants are not able to complete the baseline assessment forms.
(Exclusion Criteria of the CPTD, Protocol 2006-0419) All participants must: Not be enrolled in a managed care plan (also called an HMO, Medicare + Choice, or Medicare Advantage)
(Exclusion Criteria of the CPTD, Protocol 2006-0419) All participants must: Not be enrolled in hospice
(Exclusion Criteria of the CPTD, Protocol 2006-0419): All Cancer Screening Group (cancer negative) participants must: Not have been diagnosed with cancer within the last 5 years.
(Exclusion Criteria of the CPTD, Protocol 2006-0419): All Cancer Treatment Group (cancer positive) participants must: Not Be a Medicare-eligible beneficiary outside of Region 6 (Central Gulf Coast) unless treated at MD Anderson.","(Inclusion Criteria of participants recruited from CPTD) Cancer and non-cancer participants recruited to the study must have either been enrolled in either the screening (cancer negative) or treatment (cancer positive) of the Centers for Medicare and Medicaid Services Cancer Prevention and Treatment Demonstration Project (CMS CPTD) (Protocol 2006-0419) or must be listed as a current patient from the provided MD Anderson Tumor Registry list. All participants must meet the CPTD eligibility criteria listed below.
(Inclusion Criteria of participants recruited from CPTD) Cancer patients must have a stage III diagnosis or greater of cancer.
(Inclusion Criteria of participants recruited from the CPTD) Cancer patients must designate a proxy respondent at the time of the baseline interview in the event that a participant cannot complete subsequent phone interviews due to illness severity or cognitive impairment.
(Inclusion Criteria of the CPTD, Protocol 2006-0419) All participants must: Be Latino / Hispanic American.
(Inclusion Criteria of the CPTD, Protocol 2006-0419) All participants must: Have Medicare Part A and Part B.
(Inclusion Criteria of the CPTD, Protocol 2006-0419) All participants must: Be at least 40 years of age.
(Inclusion Criteria of the CPTD, Protocol 2006-0419) All Cancer Screening Group (cancer negative) participants must: Be a Medicare-eligible beneficiary from Region 6 (Central Gulf Coast) as defined by Texas Department of State Health Services.
(Inclusion Criteria of the CPTD, Protocol 2006-0419) All Cancer Treatment Group (cancer positive) participants must: Have been diagnosed with breast, cervix, prostate, colorectal, and/or lung cancer within the past 5 years. Be a Medicare-eligible beneficiary from Texas.
(Inclusion Criteria of participants recruited from Tumor Registry) Be Latino / Hispanic American.
(Inclusion Criteria of participants recruited from Tumor Registry) Have Medicare Part A and Part B.
(Inclusion Criteria of participants recruited from Tumor Registry) Be at least 40 years of age.
(Inclusion Criteria of participants recruited from Tumor Registry) Must have a stage 3 diagnosis of cancer or greater.
(Inclusion Criteria of participants recruited from Tumor Registry) Must designate a proxy respondent at the time of the baseline interview in the event that a participant cannot complete subsequent phone interviews due to illness severity or cognitive impairment.Participants refuse to participate in the study or are not competent to give informed consent.
Participants who miss 3 or more answers on the Six-Item Screener to Identify Cognitive Impairment.
Participants are not able to complete the baseline assessment forms.
(Exclusion Criteria of the CPTD, Protocol 2006-0419) All participants must: Not be enrolled in a managed care plan (also called an HMO, Medicare + Choice, or Medicare Advantage)
(Exclusion Criteria of the CPTD, Protocol 2006-0419) All participants must: Not be enrolled in hospice
(Exclusion Criteria of the CPTD, Protocol 2006-0419): All Cancer Screening Group (cancer negative) participants must: Not have been diagnosed with cancer within the last 5 years.
(Exclusion Criteria of the CPTD, Protocol 2006-0419): All Cancer Treatment Group (cancer positive) participants must: Not Be a Medicare-eligible beneficiary outside of Region 6 (Central Gulf Coast) unless treated at MD Anderson.",9
66,66,NCT02164149,Primary colon cancer,"Kidney failure, allergy to contrast, pregnancy","Primary colon cancerKidney failure, allergy to contrast, pregnancy",1
67,67,NCT01385436,Women aged 18-65 with a cytological diagnosis of CIN2+cervical lesions from all over Croatia that are referred to National Reference Center because of HSIL or malignant cytology findings,"Women younger than 18 or older than 65
Pregnant women","Women aged 18-65 with a cytological diagnosis of CIN2+cervical lesions from all over Croatia that are referred to National Reference Center because of HSIL or malignant cytology findingsWomen younger than 18 or older than 65
Pregnant women",1
68,68,NCT00624156,"Women with Stage IV breast cancer
Receiving cancer care at Memorial Sloan-Kettering Cancer Center
At least 18 years of age
Can speak, read, and write in English
In the judgment of consenting professionals able to provide informed consent
Score of 4 or higher on the distress thermometer (established cutoff score for probable distress; see Jacobsen et al., 2005)","Significant psychiatric or cognitive impairment (dementia/delirium, retardation, psychosis) that in the judgment of the investigators will preclude providing informed consent and participating in the intervention
Currently engaging in expressive writing (e.g., journal writing that involves expressing one's feelings) on a daily basis
Currently participating in intervention trials with similar endpoints • Male","Women with Stage IV breast cancer
Receiving cancer care at Memorial Sloan-Kettering Cancer Center
At least 18 years of age
Can speak, read, and write in English
In the judgment of consenting professionals able to provide informed consent
Score of 4 or higher on the distress thermometer (established cutoff score for probable distress; see Jacobsen et al., 2005)Significant psychiatric or cognitive impairment (dementia/delirium, retardation, psychosis) that in the judgment of the investigators will preclude providing informed consent and participating in the intervention
Currently engaging in expressive writing (e.g., journal writing that involves expressing one's feelings) on a daily basis
Currently participating in intervention trials with similar endpoints • Male",0
69,69,NCT04318834,"Patients must have a histological or radiological diagnosis of inoperable or metastatic BTC.
Patient must have a tumour that is amenable to a core needle biopsy.
Patients must have a measurable lesion by RECIST 1.1 in addition to the lesion that is going to be biopsied.
Patients must be fit to safely undergo a tumour biopsy as judged by the investigator.
Eastern Cooperative Group (ECOG) performance status ≤ 1.
Life expectancy of greater than 90 days.
Within 14 days of the proposed biopsy date, patients must have normal organ and marrow function.
Patients must undergo systemic treatment with gemcitabine-based regimens as first-line standard systemic palliative treatment with or without other investigational agents within a clinical trial.
Ability to understand and willing to sign a written informed consent document.","Patients with one or more contraindications to tumour biopsy.
Patients who have had any prior chemotherapy or other anti-cancer agent in the advanced stage setting.
Patients who are currently on anti-cancer treatment.
Patients with known brain metastases.
Uncontrolled concurrent illness that would limit compliance with study requirements.
Any other condition that would contraindicate the patient's participation due to safety concerns or compliance with clinical study procedures.","Patients must have a histological or radiological diagnosis of inoperable or metastatic BTC.
Patient must have a tumour that is amenable to a core needle biopsy.
Patients must have a measurable lesion by RECIST 1.1 in addition to the lesion that is going to be biopsied.
Patients must be fit to safely undergo a tumour biopsy as judged by the investigator.
Eastern Cooperative Group (ECOG) performance status ≤ 1.
Life expectancy of greater than 90 days.
Within 14 days of the proposed biopsy date, patients must have normal organ and marrow function.
Patients must undergo systemic treatment with gemcitabine-based regimens as first-line standard systemic palliative treatment with or without other investigational agents within a clinical trial.
Ability to understand and willing to sign a written informed consent document.Patients with one or more contraindications to tumour biopsy.
Patients who have had any prior chemotherapy or other anti-cancer agent in the advanced stage setting.
Patients who are currently on anti-cancer treatment.
Patients with known brain metastases.
Uncontrolled concurrent illness that would limit compliance with study requirements.
Any other condition that would contraindicate the patient's participation due to safety concerns or compliance with clinical study procedures.",10
70,70,NCT02221245,"Patients diagnosed with an esophageal cancer and scheduled for a standard of care endoscopic ultrasound.
Patient must sign a consent to be a participant in this protocol.","Patients not diagnosed with an esophageal cancer.
Patients that have undergone a previous staging endoscopic ultrasound.","Patients diagnosed with an esophageal cancer and scheduled for a standard of care endoscopic ultrasound.
Patient must sign a consent to be a participant in this protocol.Patients not diagnosed with an esophageal cancer.
Patients that have undergone a previous staging endoscopic ultrasound.",3
71,71,NCT00380055,"Enrolled in Medicare Part B
Self-reported American Indian","Have cancer other than study cancer
Medicare Part C enrolled","Enrolled in Medicare Part B
Self-reported American IndianHave cancer other than study cancer
Medicare Part C enrolled",1
72,0,NCT00161460,"Age 50 years and over, enrolled for medical care in the UWPN clinics","Primary care physicians feel they would not benefit from colorectal cancer screening, unwilling or unable to complete study procedures","Age 50 years and over, enrolled for medical care in the UWPN clinicsPrimary care physicians feel they would not benefit from colorectal cancer screening, unwilling or unable to complete study procedures",8
73,1,NCT01359189,"Elevated PSA ≥ 4ng/mL and/or abnormal digital rectal exam suspicious for prostate cancer.
Planned sextant prostate biopsy.
Sufficient time period to complete the imaging protocol and 5 to 7 day safety follow-up assessment without prostate biopsy or therapeutic intervention.
Patient is judged by the Investigator to have the initiative and means to provide written consent and be compliant with the protocol and be able and commits to make the required study visits.
Ambulatory with ECOG performance status of 0 or 1; or Karnofsky performance scale of ≥ 70. (seen appendix below)
Patient is between 30 and 75 years of age.","Patient or physician plans definitive concomitant chemotherapy, therapeutic radiation treatment, biologic treatment and/or local ablative treatment for cancer within the interval of study participation.
Prior therapeutic pelvic irradiation.
Recent prostate biopsy, within 1 month of study enrollment.
Patient with contraindications to TRUS-guided prostate biopsy (continuous need for anti-coagulation, no rectum, etc.)
Clinical evidence of prostatitis, or other benign prostate gland abnormality, that would explain elevated PSA and/or (digital rectal exam) DRE findings.
Active malignancy or therapy for malignancy within 6 months, other than basal or squamous cell carcinoma of the skin.
Patient received a radiopharmaceutical which was within 5 physical half-lives at the time of study imaging.
Known history of human-anti-murine-antibodies (HAMA) or known allergic reaction to previously received murine based products.","Elevated PSA ≥ 4ng/mL and/or abnormal digital rectal exam suspicious for prostate cancer.
Planned sextant prostate biopsy.
Sufficient time period to complete the imaging protocol and 5 to 7 day safety follow-up assessment without prostate biopsy or therapeutic intervention.
Patient is judged by the Investigator to have the initiative and means to provide written consent and be compliant with the protocol and be able and commits to make the required study visits.
Ambulatory with ECOG performance status of 0 or 1; or Karnofsky performance scale of ≥ 70. (seen appendix below)
Patient is between 30 and 75 years of age.Patient or physician plans definitive concomitant chemotherapy, therapeutic radiation treatment, biologic treatment and/or local ablative treatment for cancer within the interval of study participation.
Prior therapeutic pelvic irradiation.
Recent prostate biopsy, within 1 month of study enrollment.
Patient with contraindications to TRUS-guided prostate biopsy (continuous need for anti-coagulation, no rectum, etc.)
Clinical evidence of prostatitis, or other benign prostate gland abnormality, that would explain elevated PSA and/or (digital rectal exam) DRE findings.
Active malignancy or therapy for malignancy within 6 months, other than basal or squamous cell carcinoma of the skin.
Patient received a radiopharmaceutical which was within 5 physical half-lives at the time of study imaging.
Known history of human-anti-murine-antibodies (HAMA) or known allergic reaction to previously received murine based products.",4
74,2,NCT01937533,All patients with presumed early stage cervical cancer being considered for curative surgery,"Ferromagnetic metal implants
claustrophobia (MRI incompatibility)","All patients with presumed early stage cervical cancer being considered for curative surgeryFerromagnetic metal implants
claustrophobia (MRI incompatibility)",11
75,3,NCT01440855,"current age at or above 18 years;
breast, colorectal, prostate, and/or thoracic cancer diagnosis,stage I, II, IIIa;
approaching or attending the last treatment appointment of chemotherapy and or radiation therapy for the cancer diagnosis
English speaking (able to read English at an 8th grade level);
have a mailing address;
have residential phone service;
able to give informed consent.","patients who have received surgery only with no adjuvant therapy;
second primary cancer or recurrent disease;
patients receiving brachytherapy only","current age at or above 18 years;
breast, colorectal, prostate, and/or thoracic cancer diagnosis,stage I, II, IIIa;
approaching or attending the last treatment appointment of chemotherapy and or radiation therapy for the cancer diagnosis
English speaking (able to read English at an 8th grade level);
have a mailing address;
have residential phone service;
able to give informed consent.patients who have received surgery only with no adjuvant therapy;
second primary cancer or recurrent disease;
patients receiving brachytherapy only",0
76,4,NCT03752268,"Age 21 or older
Currently prescribed a long-acting (LA) opioid for nociceptive cancer pain (extended release oxycodone, extended-release morphine, transdermal fentanyl patches, methadone tablets)
Ability to comprehend study materials in English
Eastern Cooperative Oncology Group (ECOG) performance status ≤ 2
In charge of administering own pain medications
Part 2 study only: within 4 months of current prescription of LA opioid for nociceptive cancer pain","Impaired cognition, active substance disorder, or other active, unstable mental health disorder
Current long-acting opioid treatment for pre-existing condition
Part 2 study only: Prior enrollment in the Part 1 study**","Age 21 or older
Currently prescribed a long-acting (LA) opioid for nociceptive cancer pain (extended release oxycodone, extended-release morphine, transdermal fentanyl patches, methadone tablets)
Ability to comprehend study materials in English
Eastern Cooperative Oncology Group (ECOG) performance status ≤ 2
In charge of administering own pain medications
Part 2 study only: within 4 months of current prescription of LA opioid for nociceptive cancer painImpaired cognition, active substance disorder, or other active, unstable mental health disorder
Current long-acting opioid treatment for pre-existing condition
Part 2 study only: Prior enrollment in the Part 1 study**",1
77,5,NCT01335152,"Diagnosis of stage 0, I, II or III breast cancer within past 18 months
Elevated stress, distress or negative mood
Access at least 1.5 - 2 hours per week to a computer with audio capabilities that is connected to the internet
Ability to read, write, and speak English at a sixth grade level
Access to a telephone and an active e-mail account","Cancer diagnosis is a recurrence
Diagnosis of schizophrenia
Use of anti-psychotic medication
Diagnosis of bipolar disorder without use of mood stabilizing medication","Diagnosis of stage 0, I, II or III breast cancer within past 18 months
Elevated stress, distress or negative mood
Access at least 1.5 - 2 hours per week to a computer with audio capabilities that is connected to the internet
Ability to read, write, and speak English at a sixth grade level
Access to a telephone and an active e-mail accountCancer diagnosis is a recurrence
Diagnosis of schizophrenia
Use of anti-psychotic medication
Diagnosis of bipolar disorder without use of mood stabilizing medication",0
78,6,NCT03524261,"18-75 years old
The patient is diagnosed as advanced breast cancer,MUC1 is positive
There is at least one tumor should be measured,and length≥10mm of focus not at lymph node or length≥10mm of focus at lymph node
The patient can't tolerate system(systemic chemotherapy/molecular targeted therapy) or local therapies
If the patient received adjuvant chemotherapy after local treatment,the time should be more than 4 weeks after the end of chemotherapy, and disease progression or metastasis patients can also assigned into the group
The time of surgical treatment≥ 3 months ;At the end of the intervention,radiotherapy and the end of the ablation time is more than 4 weeks
The expected survival time ≥12 weeks
The patient did not took any antitumor drugs within 4 weeks(any antitumor drugs, Chinese patent medicine including Delisheng injection,Kanglaite injection, Aidi injection
No serious disease are conflicts with the solution(such as autoimmune disease,immunodeficiency,organ transplantation)
Sign the informed consent","medium or above ascites
Patient of second primary tumor or multiple primary cancer
Patients of T cell lymphoma、myeloma,and patients are using immunosuppressant
Systemic autoimmune diseases, allergic constitution or immunocompromised patients
Patients of chronic diseases need immune stimulant or hormone therapy
Patients of active bleeding or coagulant function abnormality（PT>16s、APTT>43s、TT>21s、INR≥2）,and patients of bleeding tendency or are receiving thrombolysis and anticoagulation and antiplatelet therapy
Women who is pregnant or during breast feeding or plan to pregnant in 2 years,and not willing to contraception during the test
Patients with brain、dura mater metastases or history of psychogenic
Gastrointestinal bleeding in the past six months or have clear gastrointestinal bleeding tendency,such as: patients of local active ulcerative lesions, defecate occult blood + + above shall not enter into group; defecate occult blood + depend on gastroscopy
Patients with severe stomach/esophageal varices and need for intervention treatment
Patients with abdominal fistula, gastrointestinal perforation or abdominal abscess within 4 weeks before the first treatment
Positive for HIV antibody
Patients who are allergic to computed tomography (CT) and magnetic resonance imaging (MRI) contrast agents at the same time, can't imaging assay
Patients accepted any experimental drugs or pilot medical apparatus and instruments in the past 4 weeks of first treatment
Other reasons the researchers think not suitable","18-75 years old
The patient is diagnosed as advanced breast cancer,MUC1 is positive
There is at least one tumor should be measured,and length≥10mm of focus not at lymph node or length≥10mm of focus at lymph node
The patient can't tolerate system(systemic chemotherapy/molecular targeted therapy) or local therapies
If the patient received adjuvant chemotherapy after local treatment,the time should be more than 4 weeks after the end of chemotherapy, and disease progression or metastasis patients can also assigned into the group
The time of surgical treatment≥ 3 months ;At the end of the intervention,radiotherapy and the end of the ablation time is more than 4 weeks
The expected survival time ≥12 weeks
The patient did not took any antitumor drugs within 4 weeks(any antitumor drugs, Chinese patent medicine including Delisheng injection,Kanglaite injection, Aidi injection
No serious disease are conflicts with the solution(such as autoimmune disease,immunodeficiency,organ transplantation)
Sign the informed consentmedium or above ascites
Patient of second primary tumor or multiple primary cancer
Patients of T cell lymphoma、myeloma,and patients are using immunosuppressant
Systemic autoimmune diseases, allergic constitution or immunocompromised patients
Patients of chronic diseases need immune stimulant or hormone therapy
Patients of active bleeding or coagulant function abnormality（PT>16s、APTT>43s、TT>21s、INR≥2）,and patients of bleeding tendency or are receiving thrombolysis and anticoagulation and antiplatelet therapy
Women who is pregnant or during breast feeding or plan to pregnant in 2 years,and not willing to contraception during the test
Patients with brain、dura mater metastases or history of psychogenic
Gastrointestinal bleeding in the past six months or have clear gastrointestinal bleeding tendency,such as: patients of local active ulcerative lesions, defecate occult blood + + above shall not enter into group; defecate occult blood + depend on gastroscopy
Patients with severe stomach/esophageal varices and need for intervention treatment
Patients with abdominal fistula, gastrointestinal perforation or abdominal abscess within 4 weeks before the first treatment
Positive for HIV antibody
Patients who are allergic to computed tomography (CT) and magnetic resonance imaging (MRI) contrast agents at the same time, can't imaging assay
Patients accepted any experimental drugs or pilot medical apparatus and instruments in the past 4 weeks of first treatment
Other reasons the researchers think not suitable",23
79,7,NCT03749083,"Participants must have achieved a clinical complete response (cCR) within 3 months of last therapy - defined as absence of residual ulceration, mass or mucosal irregularity at endoscopic assessment - following neoadjuvant therapy with chemoradiation or chemotherapy followed by radiation for stage I, II, or III non-metastatic rectal cancer. (Whitening of the mucosa with presence of telangiectasia will be accepted as cCR.)
Participants must have original tumor tissue (formalin-fixed, paraffin-embedded specimens) available for analysis
Participants must be 18 years of age or older.
Participants must be able to understand and willing to sign a written informed consent document.
Participants must have received long course chemoradiation to 40-54 Gy.
Participants must have received at least 4 cycles of FOLFOX
Participant must be no more than 3 months past the conclusion of initial chemoradiation of rectal cancer (i.e., end of chemoradiation).","Participants may not have any other organ cancer evident at the time of enrollment.
Participants may not have any other concurrent serious illness that makes participation on this study impractical or clinically inappropriate.","Participants must have achieved a clinical complete response (cCR) within 3 months of last therapy - defined as absence of residual ulceration, mass or mucosal irregularity at endoscopic assessment - following neoadjuvant therapy with chemoradiation or chemotherapy followed by radiation for stage I, II, or III non-metastatic rectal cancer. (Whitening of the mucosa with presence of telangiectasia will be accepted as cCR.)
Participants must have original tumor tissue (formalin-fixed, paraffin-embedded specimens) available for analysis
Participants must be 18 years of age or older.
Participants must be able to understand and willing to sign a written informed consent document.
Participants must have received long course chemoradiation to 40-54 Gy.
Participants must have received at least 4 cycles of FOLFOX
Participant must be no more than 3 months past the conclusion of initial chemoradiation of rectal cancer (i.e., end of chemoradiation).Participants may not have any other organ cancer evident at the time of enrollment.
Participants may not have any other concurrent serious illness that makes participation on this study impractical or clinically inappropriate.",9
