NCTId,Text,clean,tfidf,cluster1
NCT01946789,"Hemoglobin measurement greater than or equal to 10 grams per deciliter,Hemoglobin measurement greater than or equal to 10 grams per deciliter,(HIV=NO OR HIV =UNKNOWN) ,nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter without transfusion,Leukocyte count greater than or equal to 3000 per microliter",hemoglobin measurement greater   equal  10 grams per deciliter hemoglobin measurement greater   equal  10 grams per deciliter hiv   hiv  unknown   nan nan platelet count greater   equal  100000 platelets per cubic milimeter without transfusion leukocyte count greater   equal  3000 per microliter,"[0.35       0.69565217 0.35       0.33333333 0.48       0.51851852
 0.47826087 0.22727273 0.45       0.4137931  0.65       0.47619048
 0.75609756 0.4        0.65       0.45454545 0.22727273 0.22727273
 0.92105263 0.60526316 0.41666667 0.36363636 0.2        0.71428571
 0.68965517 0.65384615 0.65       0.         0.22727273 0.57142857
 0.5        0.22727273 0.22727273 0.30434783 0.33333333 0.45454545
 0.22727273 0.36       0.47619048 0.55172414 0.51851852 0.35
 0.61290323 0.55555556 0.65       0.6        0.55882353 0.45833333
 0.51851852 0.48       0.51724138 0.42105263 0.4        0.38095238
 0.22727273 0.62857143 0.45454545 0.48387097 0.22727273 0.22727273
 0.23809524 0.18181818 0.38095238 0.57142857 0.42105263 0.58064516
 0.775      0.81081081 0.38095238 0.19047619 0.58064516 0.38095238
 0.22727273 0.59375    0.51724138 0.42105263 0.22727273 0.61764706
 0.35       0.38095238 0.63636364 0.53333333 0.65       0.65
 0.59375    0.43333333 0.66666667]",1
NCT01989585,"Hemoglobin measurement greater than or equal to 9 grams per deciliter,Hemoglobin measurement greater than or equal to 9 grams per deciliter,HIV=NO OR HIV =UNKNOWN OR (HIV=YES AND HAART=NO),nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter,Leukocyte count greater than or equal to 3000 per microliter",hemoglobin measurement greater   equal  9 grams per deciliter hemoglobin measurement greater   equal  9 grams per deciliter hiv   hiv  unknown   hiv yes  haart  nan nan platelet count greater   equal  100000 platelets per cubic milimeter leukocyte count greater   equal  3000 per microliter,"[0.45454545 0.70833333 0.45454545 0.36363636 0.375      0.53571429
 0.5        0.         0.47619048 0.43333333 0.66666667 0.5
 0.7        0.35       0.66666667 0.40909091 0.         0.
 0.89473684 0.61538462 0.44       0.39130435 0.15       0.72727273
 0.65517241 0.56       0.66666667 0.22727273 0.         0.59090909
 0.4        0.         0.         0.18181818 0.36363636 0.33333333
 0.         0.25       0.5        0.51724138 0.42307692 0.45454545
 0.53333333 0.44117647 0.66666667 0.51724138 0.52941176 0.41666667
 0.42307692 0.375      0.37037037 0.45       0.35       0.33333333
 0.         0.55882353 0.33333333 0.34482759 0.         0.0952381
 0.19047619 0.04761905 0.25       0.59090909 0.45       0.5
 0.75       0.78378378 0.25       0.05       0.44827586 0.25
 0.26086957 0.51612903 0.42857143 0.45       0.0952381  0.58823529
 0.45454545 0.40909091 0.52380952 0.5        0.66666667 0.66666667
 0.5625     0.28571429 0.60526316]",9
NCT02015104,"nan,(HIV=NO OR HIV=UNKNOWN) AND (Immunocompromised=NO),nan,nan,Platelet count greater than or equal to 50000 platelets per cubic milimeter,nan",nan hiv   hiv unknown    immunocompromised  nan nan platelet count greater   equal  50000 platelets per cubic milimeter nan,"[0.61111111 0.77777778 0.61111111 0.5        0.57142857 0.66666667
 0.57894737 0.59090909 0.78947368 0.73333333 0.8125     0.58823529
 0.80555556 0.5        0.8125     0.55555556 0.59090909 0.59090909
 0.9        0.78378378 0.5        0.44444444 0.6        0.88235294
 0.8        0.5        0.41666667 0.57142857 0.59090909 0.
 0.59090909 0.59090909 0.59090909 0.59090909 0.5        0.55555556
 0.59090909 0.68       0.58823529 0.58333333 0.54545455 0.61111111
 0.65384615 0.74285714 0.8125     0.58333333 0.71875    0.55
 0.54545455 0.57142857 0.7037037  0.53333333 0.5        0.47058824
 0.59090909 0.70967742 0.47058824 0.7        0.59090909 0.59090909
 0.55       0.60869565 0.47058824 0.625      0.53333333 0.66666667
 0.67741935 0.75862069 0.47058824 0.57142857 0.61538462 0.47058824
 0.59090909 0.67857143 0.75       0.53333333 0.59090909 0.7
 0.61111111 0.47058824 0.625      0.66666667 0.8125     0.8125
 0.67857143 0.7        0.74285714]",13
NCT02070549,"Hemoglobin measurement greater than or equal to 9 grams per deciliter,Hemoglobin measurement greater than or equal to 9 grams per deciliter,HIV =NO OR OR HIV=UNKNOWN OR (HIV =Y AND HAART=NO AND CD4>=500 cells/mm3),nan,nan,Platelet count greater than or equal to 75000 platelets per cubic milimeter,nan",hemoglobin measurement greater   equal  9 grams per deciliter hemoglobin measurement greater   equal  9 grams per deciliter hiv     hiv unknown   hiv    haart   cd4 500 cells mm3 nan nan platelet count greater   equal  75000 platelets per cubic milimeter nan,"[0.52173913 0.70833333 0.52173913 0.43478261 0.65517241 0.5862069
 0.56       0.4        0.66666667 0.57575758 0.66666667 0.5
 0.73170732 0.625      0.66666667 0.40909091 0.4        0.4
 0.92307692 0.74418605 0.5        0.45833333 0.45833333 0.72727273
 0.55555556 0.36363636 0.6        0.5        0.4        0.59090909
 0.         0.4        0.4        0.51851852 0.43478261 0.33333333
 0.4        0.32       0.5        0.40740741 0.29166667 0.52173913
 0.58064516 0.48571429 0.66666667 0.56666667 0.48484848 0.53846154
 0.29166667 0.5        0.42857143 0.70833333 0.68       0.25
 0.4        0.6        0.6        0.34482759 0.4        0.46153846
 0.34782609 0.42307692 0.6        0.59090909 0.70833333 0.67647059
 0.68421053 0.71428571 0.6        0.375      0.44827586 0.6
 0.46153846 0.68571429 0.58064516 0.70833333 0.46153846 0.66666667
 0.52173913 0.33333333 0.70833333 0.44827586 0.66666667 0.66666667
 0.64705882 0.4        0.73809524]",14
NCT02079740,"Hemoglobin measurement greater than or equal to 9 grams per deciliter,Hemoglobin measurement greater than or equal to 9 grams per deciliter,HIV=NO OR HIV=UNKNOWN OR (HIV =YES AND HAART=NO),nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter,Leukocyte count greater than or equal to 3000 per microliter",hemoglobin measurement greater   equal  9 grams per deciliter hemoglobin measurement greater   equal  9 grams per deciliter hiv   hiv unknown   hiv  yes  haart  nan nan platelet count greater   equal  100000 platelets per cubic milimeter leukocyte count greater   equal  3000 per microliter,"[0.45454545 0.70833333 0.45454545 0.36363636 0.375      0.53571429
 0.5        0.         0.47619048 0.43333333 0.66666667 0.5
 0.7        0.35       0.66666667 0.40909091 0.         0.
 0.89473684 0.61538462 0.44       0.39130435 0.15       0.72727273
 0.65517241 0.56       0.66666667 0.22727273 0.         0.59090909
 0.4        0.         0.         0.18181818 0.36363636 0.33333333
 0.         0.25       0.5        0.51724138 0.42307692 0.45454545
 0.53333333 0.44117647 0.66666667 0.51724138 0.52941176 0.41666667
 0.42307692 0.375      0.37037037 0.45       0.35       0.33333333
 0.         0.55882353 0.33333333 0.34482759 0.         0.0952381
 0.19047619 0.04761905 0.25       0.59090909 0.45       0.5
 0.75       0.78378378 0.25       0.05       0.44827586 0.25
 0.26086957 0.51612903 0.42857143 0.45       0.0952381  0.58823529
 0.45454545 0.40909091 0.52380952 0.5        0.66666667 0.66666667
 0.5625     0.28571429 0.60526316]",9
NCT02097225,"Hemoglobin measurement greater than or equal to 9 grams per deciliter,Hemoglobin measurement greater than or equal to 9 grams per deciliter,HIV=NO OR HIV=UNKNOWN OR (HIV =YES AND HAART=NO),nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter,Leukocyte count greater than or equal to 3000 per microliter",hemoglobin measurement greater   equal  9 grams per deciliter hemoglobin measurement greater   equal  9 grams per deciliter hiv   hiv unknown   hiv  yes  haart  nan nan platelet count greater   equal  100000 platelets per cubic milimeter leukocyte count greater   equal  3000 per microliter,"[0.45454545 0.70833333 0.45454545 0.36363636 0.375      0.53571429
 0.5        0.         0.47619048 0.43333333 0.66666667 0.5
 0.7        0.35       0.66666667 0.40909091 0.         0.
 0.89473684 0.61538462 0.44       0.39130435 0.15       0.72727273
 0.65517241 0.56       0.66666667 0.22727273 0.         0.59090909
 0.4        0.         0.         0.18181818 0.36363636 0.33333333
 0.         0.25       0.5        0.51724138 0.42307692 0.45454545
 0.53333333 0.44117647 0.66666667 0.51724138 0.52941176 0.41666667
 0.42307692 0.375      0.37037037 0.45       0.35       0.33333333
 0.         0.55882353 0.33333333 0.34482759 0.         0.0952381
 0.19047619 0.04761905 0.25       0.59090909 0.45       0.5
 0.75       0.78378378 0.25       0.05       0.44827586 0.25
 0.26086957 0.51612903 0.42857143 0.45       0.0952381  0.58823529
 0.45454545 0.40909091 0.52380952 0.5        0.66666667 0.66666667
 0.5625     0.28571429 0.60526316]",9
NCT02101775,"Hemoglobin measurement greater than or equal to 90 grams per liter,Hemoglobin measurement greater than or equal to 90 grams per liter,HIV=NO OR HIV=UNKNOWN OR (HIV =YES AND HAART=NO),nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter,Leukocyte count greater than or equal to 3000 per microliter",hemoglobin measurement greater   equal  90 grams per liter hemoglobin measurement greater   equal  90 grams per liter hiv   hiv unknown   hiv  yes  haart  nan nan platelet count greater   equal  100000 platelets per cubic milimeter leukocyte count greater   equal  3000 per microliter,"[0.52173913 0.76       0.52173913 0.43478261 0.375      0.5862069
 0.56       0.18181818 0.54545455 0.53125    0.72727273 0.56521739
 0.7        0.35       0.72727273 0.47826087 0.18181818 0.18181818
 0.89473684 0.65       0.5        0.45833333 0.31818182 0.7826087
 0.7        0.56       0.66666667 0.30434783 0.18181818 0.59090909
 0.51851852 0.18181818 0.18181818 0.         0.43478261 0.47826087
 0.18181818 0.38461538 0.56521739 0.56666667 0.48148148 0.52173913
 0.53333333 0.48571429 0.72727273 0.51724138 0.57142857 0.41666667
 0.48148148 0.375      0.48275862 0.45       0.35       0.47826087
 0.18181818 0.55882353 0.33333333 0.4516129  0.18181818 0.18181818
 0.34782609 0.2173913  0.25       0.65217391 0.45       0.5
 0.75       0.78378378 0.25       0.22727273 0.5483871  0.25
 0.4        0.51612903 0.48275862 0.45       0.26086957 0.58823529
 0.52173913 0.47826087 0.52380952 0.5483871  0.72727273 0.72727273
 0.5625     0.4        0.60526316]",1
NCT02135042,"Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,HIV=NO OR HIV=UNKNOWN OR AIDS=NO,nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter,nan",hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter hiv   hiv unknown  aids  nan nan platelet count greater   equal  100000 platelets per cubic milimeter nan,"[0.23529412 0.5        0.23529412 0.         0.6        0.31818182
 0.22222222 0.36363636 0.6        0.56666667 0.5        0.29411765
 0.8        0.55       0.5        0.27777778 0.36363636 0.36363636
 0.91428571 0.64864865 0.15789474 0.05882353 0.35       0.66666667
 0.54166667 0.60869565 0.58823529 0.33333333 0.36363636 0.5
 0.43478261 0.36363636 0.36363636 0.43478261 0.         0.36842105
 0.36363636 0.48       0.29411765 0.375      0.39130435 0.23529412
 0.62068966 0.6        0.5        0.65517241 0.51612903 0.58333333
 0.39130435 0.6        0.57142857 0.57894737 0.55       0.27777778
 0.36363636 0.67647059 0.52380952 0.58064516 0.36363636 0.28571429
 0.38095238 0.39130435 0.52380952 0.41176471 0.57894737 0.67741935
 0.72222222 0.75757576 0.52380952 0.33333333 0.53571429 0.52380952
 0.28571429 0.6875     0.51851852 0.57894737 0.36363636 0.70588235
 0.23529412 0.17647059 0.71428571 0.36       0.5        0.5
 0.6875     0.53333333 0.74358974]",5
NCT02135419,"Hemoglobin measurement greater than or equal to 9 grams per deciliter,Hemoglobin measurement greater than or equal to 9 grams per deciliter,HIV =YES,nan,nan,Platelet count greater than or equal to 75000 platelets per cubic milimeter,nan",hemoglobin measurement greater   equal  9 grams per deciliter hemoglobin measurement greater   equal  9 grams per deciliter hiv  yes nan nan platelet count greater   equal  75000 platelets per cubic milimeter nan,"[0.38888889 0.63157895 0.38888889 0.36842105 0.64       0.5
 0.45       0.33333333 0.57894737 0.55172414 0.5625     0.35294118
 0.825      0.6        0.5625     0.33333333 0.33333333 0.33333333
 0.87878788 0.71052632 0.45454545 0.4        0.31578947 0.64705882
 0.64       0.52380952 0.46666667 0.45454545 0.33333333 0.55555556
 0.33333333 0.33333333 0.33333333 0.47826087 0.36842105 0.
 0.33333333 0.45833333 0.35294118 0.48       0.43478261 0.38888889
 0.7        0.58823529 0.5625     0.68965517 0.59375    0.625
 0.43478261 0.64       0.375      0.63157895 0.52631579 0.125
 0.33333333 0.70588235 0.57142857 0.46428571 0.33333333 0.40909091
 0.26315789 0.36363636 0.57142857 0.55555556 0.63157895 0.70967742
 0.75       0.78787879 0.57142857 0.38095238 0.46153846 0.57142857
 0.40909091 0.71875    0.60714286 0.63157895 0.33333333 0.73529412
 0.38888889 0.23529412 0.7        0.51851852 0.5625     0.5625
 0.71875    0.51724138 0.76923077]",5
NCT02143401,"Hemoglobin measurement greater than or equal to 9 grams per deciliter,Hemoglobin measurement greater than or equal to 9 grams per deciliter,HIV=NO OR HIV=Unknown OR (HIV=YES AND HAART=NO),nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter,Leukocyte count greater than or equal to 3000 per microliter",hemoglobin measurement greater   equal  9 grams per deciliter hemoglobin measurement greater   equal  9 grams per deciliter hiv   hiv unknown   hiv yes  haart  nan nan platelet count greater   equal  100000 platelets per cubic milimeter leukocyte count greater   equal  3000 per microliter,"[0.45454545 0.70833333 0.45454545 0.36363636 0.375      0.53571429
 0.5        0.         0.47619048 0.43333333 0.66666667 0.5
 0.7        0.35       0.66666667 0.40909091 0.         0.
 0.89473684 0.61538462 0.44       0.39130435 0.15       0.72727273
 0.65517241 0.56       0.66666667 0.22727273 0.         0.59090909
 0.4        0.         0.         0.18181818 0.36363636 0.33333333
 0.         0.25       0.5        0.51724138 0.42307692 0.45454545
 0.53333333 0.44117647 0.66666667 0.51724138 0.52941176 0.41666667
 0.42307692 0.375      0.37037037 0.45       0.35       0.33333333
 0.         0.55882353 0.33333333 0.34482759 0.         0.0952381
 0.19047619 0.04761905 0.25       0.59090909 0.45       0.5
 0.75       0.78378378 0.25       0.05       0.44827586 0.25
 0.26086957 0.51612903 0.42857143 0.45       0.0952381  0.58823529
 0.45454545 0.40909091 0.52380952 0.5        0.66666667 0.66666667
 0.5625     0.28571429 0.60526316]",9
NCT02159989,"Hemoglobin measurement greater than or equal to 9 grams per deciliter,Hemoglobin measurement greater than or equal to 9 grams per deciliter,{(HIV=NO) OR (HIV=Y AND HAART=NO AND  CD4>250 cells/mm3) AND (HIV=Y AND HAART=Y AND  CD4>250 cells/mm3)},nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter,Leukocyte count greater than or equal to 3000 per microliter",hemoglobin measurement greater   equal  9 grams per deciliter hemoglobin measurement greater   equal  9 grams per deciliter hiv     hiv   haart   cd4 250 cells mm3    hiv   haart   cd4 250 cells mm3 nan nan platelet count greater   equal  100000 platelets per cubic milimeter leukocyte count greater   equal  3000 per microliter,"[0.5        0.73076923 0.5        0.48       0.53571429 0.56666667
 0.53846154 0.25       0.52173913 0.41935484 0.69565217 0.54166667
 0.68292683 0.40909091 0.69565217 0.45833333 0.25       0.25
 0.92682927 0.63414634 0.53571429 0.5        0.22727273 0.75
 0.63333333 0.53846154 0.69565217 0.36       0.25       0.68
 0.32       0.25       0.25       0.38461538 0.48       0.45833333
 0.25       0.         0.54166667 0.5        0.40740741 0.5
 0.51612903 0.38235294 0.69565217 0.44827586 0.51428571 0.4
 0.40740741 0.29166667 0.4137931  0.5        0.47826087 0.45833333
 0.25       0.54285714 0.52       0.33333333 0.25       0.32
 0.33333333 0.28       0.45833333 0.68       0.5        0.57575758
 0.7        0.72972973 0.45833333 0.2173913  0.53125    0.45833333
 0.38461538 0.58823529 0.51612903 0.5        0.32       0.52941176
 0.5        0.52       0.68       0.43333333 0.69565217 0.69565217
 0.54545455 0.27586207 0.65853659]",1
NCT02201992,"Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,nan,nan,nan,nan,nan,nan,Platelet count greater than or equal to 30000 platelets per cubic milimeter,Platelet count greater than or equal to 30000 platelets per cubic milimeter,nan,nan",hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter nan nan nan nan nan nan platelet count greater   equal  30000 platelets per cubic milimeter platelet count greater   equal  30000 platelets per cubic milimeter nan nan,"[0.2        0.5        0.2        0.29411765 0.72       0.45454545
 0.29411765 0.5        0.52941176 0.62068966 0.38461538 0.14285714
 0.875      0.63157895 0.38461538 0.25       0.5        0.5
 0.93939394 0.65714286 0.4        0.33333333 0.42105263 0.6875
 0.66666667 0.68181818 0.5        0.47619048 0.5        0.58823529
 0.5        0.5        0.5        0.56521739 0.29411765 0.35294118
 0.5        0.54166667 0.         0.5        0.45454545 0.2
 0.76666667 0.68571429 0.38461538 0.75862069 0.61290323 0.70833333
 0.45454545 0.72       0.57692308 0.58823529 0.63157895 0.35294118
 0.5        0.8        0.66666667 0.63333333 0.5        0.42857143
 0.45       0.52173913 0.66666667 0.5        0.58823529 0.77419355
 0.80555556 0.84848485 0.66666667 0.47619048 0.59259259 0.66666667
 0.5        0.78125    0.62962963 0.58823529 0.5        0.79411765
 0.2        0.25       0.8        0.53846154 0.38461538 0.38461538
 0.78125    0.63333333 0.82051282]",3
NCT02203526,"Hemoglobin measurement greater than 8 grams per deciliter,Hemoglobin measurement greater than 8 grams per deciliter,HIV=NO OR HIV=Unknown OR (HIV=YES AND  CD4>C25555 {cells}/mm3 AND AIDS-Related Disorder =NO),nan,nan,Platelet count greater than or equal to 50000 platelets per cubic milimeter,nan",hemoglobin measurement greater  8 grams per deciliter hemoglobin measurement greater  8 grams per deciliter hiv   hiv unknown   hiv yes  cd4 c25555  cells mm3  aids related disorder   nan nan platelet count greater   equal  50000 platelets per cubic milimeter nan,"[0.52       0.64       0.52       0.375      0.6875     0.53333333
 0.5        0.51724138 0.7037037  0.64864865 0.65217391 0.5
 0.72093023 0.71428571 0.65217391 0.48       0.51724138 0.51724138
 0.875      0.73333333 0.44444444 0.4        0.57142857 0.76
 0.44444444 0.5        0.70833333 0.55172414 0.51724138 0.58333333
 0.40740741 0.51724138 0.51724138 0.56666667 0.375      0.48
 0.51724138 0.5        0.5        0.         0.24       0.52
 0.57575758 0.56410256 0.65217391 0.51612903 0.48571429 0.53571429
 0.24       0.55172414 0.57575758 0.74074074 0.66666667 0.48
 0.51724138 0.63157895 0.64285714 0.5        0.51724138 0.46428571
 0.53571429 0.53333333 0.64285714 0.58333333 0.74074074 0.7027027
 0.52777778 0.66666667 0.64285714 0.55172414 0.5        0.64285714
 0.51724138 0.71052632 0.57575758 0.74074074 0.51724138 0.65789474
 0.52       0.41666667 0.74074074 0.34482759 0.65217391 0.65217391
 0.63888889 0.5        0.75555556]",14
NCT02206334,"Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,HIV =NO OR HIV =UNKNOWN OR (HIV =YES AND CD4>=200 {cells}/mm3) AND HAART=YES),HIV =NO OR HIV =UNKNOWN OR (HIV =YES AND CD4>=200 {cells}/mm3) AND HAART=YES),nan,nan,nan,nan,Platelet count greater than or equal to 50000 platelets per cubic milimeter,Platelet count greater than or equal to 50000 platelets per cubic milimeter,nan,nan",hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter hiv    hiv  unknown   hiv  yes  cd4 200  cells mm3   haart yes hiv    hiv  unknown   hiv  yes  cd4 200  cells mm3   haart yes nan nan nan nan platelet count greater   equal  50000 platelets per cubic milimeter platelet count greater   equal  50000 platelets per cubic milimeter nan nan,"[0.47826087 0.66666667 0.47826087 0.39130435 0.62068966 0.55172414
 0.52       0.42307692 0.68       0.58823529 0.61904762 0.45454545
 0.70731707 0.64       0.61904762 0.36363636 0.42307692 0.42307692
 0.8974359  0.72093023 0.46153846 0.41666667 0.53846154 0.73913043
 0.46153846 0.39130435 0.68181818 0.51851852 0.42307692 0.54545455
 0.29166667 0.42307692 0.42307692 0.48148148 0.39130435 0.43478261
 0.42307692 0.40740741 0.45454545 0.24       0.         0.47826087
 0.5483871  0.5        0.61904762 0.48275862 0.40625    0.44
 0.         0.46153846 0.5        0.72       0.64       0.43478261
 0.42307692 0.61111111 0.56       0.41935484 0.42307692 0.36
 0.5        0.44444444 0.56       0.54545455 0.72       0.64705882
 0.62162162 0.68571429 0.56       0.46153846 0.35714286 0.56
 0.53571429 0.65714286 0.5        0.72       0.48148148 0.63888889
 0.47826087 0.36363636 0.66666667 0.35714286 0.61904762 0.61904762
 0.61764706 0.41935484 0.71428571]",14
NCT02255461,"Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,nan,nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter without transfusion,nan",hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter nan nan nan platelet count greater   equal  100000 platelets per cubic milimeter without transfusion nan,"[0.         0.52941176 0.         0.23529412 0.68       0.40909091
 0.23529412 0.45454545 0.55555556 0.53571429 0.42857143 0.2
 0.87804878 0.57894737 0.42857143 0.29411765 0.45454545 0.45454545
 0.94117647 0.62857143 0.35       0.27777778 0.36842105 0.70588235
 0.68       0.69565217 0.53333333 0.35       0.45454545 0.61111111
 0.52173913 0.45454545 0.45454545 0.52173913 0.23529412 0.38888889
 0.45454545 0.5        0.2        0.52       0.47826087 0.
 0.73333333 0.65714286 0.42857143 0.76666667 0.53333333 0.66666667
 0.47826087 0.68       0.59259259 0.52941176 0.57894737 0.38888889
 0.45454545 0.77142857 0.61904762 0.64516129 0.45454545 0.38095238
 0.47619048 0.40909091 0.61904762 0.52941176 0.52941176 0.74193548
 0.81081081 0.85294118 0.61904762 0.42857143 0.60714286 0.61904762
 0.38095238 0.75       0.59259259 0.52941176 0.45454545 0.76470588
 0.         0.29411765 0.80952381 0.5        0.42857143 0.42857143
 0.75       0.6        0.79487179]",3
NCT02275533,"nan,HIV=NO OR HIV=Unknown OR (HIV=YES AND (AIDS=YES OR AIDS=NO) AND (Viral Load=0 {copies}/mm3 AND (HAART=YES OR HAART=NO) AND  CD4>=350 {cells}/mm3)),nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter,Leukocyte count greater than or equal to 2000 per microliter",nan hiv   hiv unknown   hiv yes   aids yes  aids     viral load 0  copies mm3   haart yes  haart    cd4 350  cells mm3 nan nan platelet count greater   equal  100000 platelets per cubic milimeter leukocyte count greater   equal  2000 per microliter,"[0.73333333 0.87096774 0.73333333 0.62068966 0.51724138 0.71428571
 0.70967742 0.53333333 0.8        0.69230769 0.89655172 0.76666667
 0.56410256 0.52       0.89655172 0.7        0.53333333 0.53333333
 0.9047619  0.73913043 0.65625    0.63333333 0.63333333 0.93333333
 0.65625    0.46153846 0.72       0.61290323 0.53333333 0.65384615
 0.58064516 0.53333333 0.53333333 0.53333333 0.62068966 0.7
 0.53333333 0.51612903 0.76666667 0.57575758 0.5483871  0.73333333
 0.         0.53846154 0.89655172 0.43333333 0.45714286 0.38461538
 0.5483871  0.34615385 0.4        0.6        0.52       0.7
 0.53333333 0.48571429 0.375      0.32258065 0.53333333 0.53333333
 0.64516129 0.5483871  0.44       0.83333333 0.6        0.46875
 0.5        0.67567568 0.44       0.56666667 0.55882353 0.44
 0.58064516 0.48484848 0.4        0.6        0.58064516 0.42424242
 0.73333333 0.7        0.54166667 0.36666667 0.89655172 0.89655172
 0.27586207 0.51428571 0.53846154]",0
NCT02298959,"Hemoglobin measurement greater than or equal to 9 grams per deciliter or 5.6 millimoles per liter,Hemoglobin measurement greater than or equal to 9 grams per deciliter or 5.6 millimoles per liter,Hemoglobin measurement greater than or equal to 9 grams per deciliter or 5.6 millimoles per liter,Hemoglobin measurement greater than or equal to 9 grams per deciliter or 5.6 millimoles per liter,HIV=NO OR HIV=Unknown OR (HIV=YES AND HAART=YES AND Healthy=YES AND CD4> 250 {cells}/mm3 AND Prevention and Treatment of Opportunistic Infection =NO),HIV=NO OR HIV=Unknown OR (HIV=YES AND HAART=YES AND Healthy=YES AND CD4> 250 {cells}/mm3 AND Prevention and Treatment of Opportunistic Infection =NO),nan,nan,nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter,Platelet count greater than or equal to 100000 platelets per cubic milimeter,Leukocyte count greater than or equal to 2000 per microliter,Leukocyte count greater than or equal to 2000 per microliter",hemoglobin measurement greater   equal  9 grams per deciliter  5 6 millimoles per liter hemoglobin measurement greater   equal  9 grams per deciliter  5 6 millimoles per liter hemoglobin measurement greater   equal  9 grams per deciliter  5 6 millimoles per liter hemoglobin measurement greater   equal  9 grams per deciliter  5 6 millimoles per liter hiv   hiv unknown   hiv yes  haart yes  healthy yes  cd4  250  cells mm3  prevention  treatment  opportunistic infection   hiv   hiv unknown   hiv yes  haart yes  healthy yes  cd4  250  cells mm3  prevention  treatment  opportunistic infection   nan nan nan nan platelet count greater   equal  100000 platelets per cubic milimeter platelet count greater   equal  100000 platelets per cubic milimeter leukocyte count greater   equal  2000 per microliter leukocyte count greater   equal  2000 per microliter,"[0.65714286 0.81081081 0.65714286 0.6        0.63157895 0.68292683
 0.67567568 0.44117647 0.71428571 0.60465116 0.79411765 0.68571429
 0.7254902  0.64705882 0.79411765 0.62857143 0.44117647 0.44117647
 0.92156863 0.73584906 0.63157895 0.61111111 0.52941176 0.82857143
 0.66666667 0.6        0.79411765 0.55555556 0.44117647 0.74285714
 0.48571429 0.44117647 0.44117647 0.48571429 0.6        0.58823529
 0.44117647 0.38235294 0.68571429 0.56410256 0.5        0.65714286
 0.53846154 0.         0.79411765 0.48648649 0.425      0.54285714
 0.5        0.47058824 0.5        0.70588235 0.64705882 0.58823529
 0.44117647 0.59090909 0.54545455 0.475      0.44117647 0.48571429
 0.54285714 0.45714286 0.58823529 0.74285714 0.70588235 0.65116279
 0.71428571 0.68181818 0.58823529 0.47058824 0.58536585 0.58823529
 0.52777778 0.65909091 0.53846154 0.70588235 0.48571429 0.54761905
 0.65714286 0.62857143 0.66666667 0.51282051 0.79411765 0.79411765
 0.48717949 0.43589744 0.70588235]",12
